25-05-30 22:23:41.863 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final 
25-05-30 22:23:47.750 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/IBM Corporation/17.0.7+7"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='zaheerk0302', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2474dfb2, com.mongodb.Jep395RecordCodecProvider@c5bc171b, com.mongodb.KotlinCodecProvider@9b50ba9a]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.cal3yrd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-3n5pb0-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
25-05-30 22:23:48.254 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 2. Remaining time: 29979 ms. Selector: WritableServerSelector, topology description: {type=UNKNOWN, servers=[]. 
25-05-30 22:23:49.610 [cluster-ClusterId{value='6839e29bef68114a4f159e95', description='Cluster0'}-srv-cluster0.cal3yrd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-svicr6k-shard-00-00.cal3yrd.mongodb.net:27017 to client view of cluster 
25-05-30 22:23:49.667 [cluster-ClusterId{value='6839e29bef68114a4f159e95', description='Cluster0'}-srv-cluster0.cal3yrd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017 to client view of cluster 
25-05-30 22:23:49.675 [cluster-ClusterId{value='6839e29bef68114a4f159e95', description='Cluster0'}-srv-cluster0.cal3yrd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-svicr6k-shard-00-01.cal3yrd.mongodb.net:27017 to client view of cluster 
25-05-30 22:23:51.833 [cluster-ClusterId{value='6839e29bef68114a4f159e95', description='Cluster0'}-ac-svicr6k-shard-00-01.cal3yrd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-svicr6k-shard-00-01.cal3yrd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=521800300, minRoundTripTimeNanos=0, setName='atlas-3n5pb0-shard-0', canonicalAddress=ac-svicr6k-shard-00-01.cal3yrd.mongodb.net:27017, hosts=[ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017, ac-svicr6k-shard-00-01.cal3yrd.mongodb.net:27017, ac-svicr6k-shard-00-00.cal3yrd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=254, topologyVersion=TopologyVersion{processId=682ec483c256fd768fd44b21, counter=5}, lastWriteDate=Fri May 30 22:23:51 IST 2025, lastUpdateTimeNanos=294941629093500} 
25-05-30 22:23:51.833 [cluster-ClusterId{value='6839e29bef68114a4f159e95', description='Cluster0'}-ac-svicr6k-shard-00-00.cal3yrd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-svicr6k-shard-00-00.cal3yrd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=590257800, minRoundTripTimeNanos=0, setName='atlas-3n5pb0-shard-0', canonicalAddress=ac-svicr6k-shard-00-00.cal3yrd.mongodb.net:27017, hosts=[ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017, ac-svicr6k-shard-00-01.cal3yrd.mongodb.net:27017, ac-svicr6k-shard-00-00.cal3yrd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=254, topologyVersion=TopologyVersion{processId=682ec36f5ef24b6df074288f, counter=5}, lastWriteDate=Fri May 30 22:23:51 IST 2025, lastUpdateTimeNanos=294941629147100} 
25-05-30 22:23:52.337 [cluster-ClusterId{value='6839e29bef68114a4f159e95', description='Cluster0'}-ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=89125200, minRoundTripTimeNanos=0, setName='atlas-3n5pb0-shard-0', canonicalAddress=ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017, hosts=[ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017, ac-svicr6k-shard-00-01.cal3yrd.mongodb.net:27017, ac-svicr6k-shard-00-00.cal3yrd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000117, setVersion=254, topologyVersion=TopologyVersion{processId=682ec25c6d5b87f14694bad0, counter=9}, lastWriteDate=Fri May 30 22:23:52 IST 2025, lastUpdateTimeNanos=294942140529400} 
25-05-30 22:23:52.338 [cluster-ClusterId{value='6839e29bef68114a4f159e95', description='Cluster0'}-ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-svicr6k-shard-00-02.cal3yrd.mongodb.net:27017 with max election id 7fffffff0000000000000117 and max set version 254 
25-05-30 22:23:53.116 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl 
25-05-30 22:23:54.226 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"] 
25-05-30 22:23:54.261 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/journal' 
25-05-30 22:23:54.285 [main] INFO  n.p.JournalApp.JournalAppApplication - Started JournalAppApplication in 13.155 seconds (process running for 14.415) 
